cement,Flyash ,Slag ,Water ,Superplasticizer ,Coarseagg,Fineagg,CuringDays,Porosity,Strength,Total_cost
414,0,0,207,0.400000176,1023.404967,755.1950326,1,12.07,26.89,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,1,12.12,23.56,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,1,12.66,20.06,8190.702713
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,1,12.9,14.92,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,1,13.43,12.42,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,1,13.29,11.75,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,1,14.14,10.97,7065.357437
177,0,118,206.5,0,1037.775562,860.7244382,1,15.28,6.68,7419.302079
591,0,0,206.85,4.099999854,1007.713966,590.3360337,3,6.06,54.65,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,3,6.89,38.29,9687.859338
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,3,7.85,30.52,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,3,9.61,26.89,10791.57941
414,0,0,207,0.400000176,1023.404967,755.1950326,3,7.21,23.56,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,3,7.04,20.06,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,3,7.87,14.92,8190.702713
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,3,8.56,12.42,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,3,13.02,11.75,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,3,12.55,10.97,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,3,13.14,6.68,7065.357437
177,0,118,206.5,0,1037.775562,860.7244382,3,13.48,54.65,7419.302079
591,0,0,206.85,4.099999854,1007.713966,590.3360337,7,6.4,50.53,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,7,6.12,47.62,9687.859338
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,7,6.39,46.25,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,7,6.84,35.24,10791.57941
414,0,0,207,0.400000176,1023.404967,755.1950326,7,6.73,34.12,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,7,6.34,32.03,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,7,7.09,26.01,8190.702713
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,7,7.61,18.23,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,7,9.76,19.94,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,7,10.35,17.54,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,7,9.55,14.84,7065.357437
177,0,118,206.5,0,1037.775562,860.7244382,7,12.18,58.17,7419.302079
591,0,0,206.85,4.099999854,1007.713966,590.3360337,28,4.45,60.74,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,28,4.4,55.32,9687.859338
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,28,4.55,59.77,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,28,4.27,41.03,10791.57941
414,0,0,207,0.400000176,1023.404967,755.1950326,28,5.3,43.24,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,28,5.86,47.94,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,28,5.97,43.6,8190.702713
